0, 0
.1, .1000000000e-1
.2, .2000000000e-1
.3, .3000000000e-1
.4, .4000000000e-1
.5, .5000000000e-1
.6, .6000000000e-1
.7, .7000000000e-1
.8, .8000000000e-1
.9, .9000000000e-1
1.0, .1000000000
1.1, .1100000000
1.2, .1200000000
1.3, .1300000000
1.4, .1400000000
1.5, .1500000000
1.6, .1600000000
1.7, .1700000000
1.8, .1800000000
1.9, .1900000000
2.0, .2000000000
2.1, .2100000000
2.2, .2200000000
2.3, .2300000000
2.4, .2400000000
2.5, .2500000000
2.6, .2600000000
2.7, .2700000000
2.8, .2800000000
2.9, .2900000000
3.0, .3000000000
3.1, .3100000000
3.2, .3200000000
3.3, .3300000000
3.4, .3400000000
3.5, .3500000000
3.6, .3600000000
3.7, .3700000000
3.8, .3800000000
3.9, .3900000000
4.0, .4000000000
4.1, .4100000000
4.2, .4200000000
4.3, .4300000000
4.4, .4400000000
4.5, .4500000000
4.6, .4600000000
4.7, .4700000000
4.8, .4800000000
4.9, .4900000000
5.0, .5000000000
5.1, .5100000000
5.2, .5200000000
5.3, .5300000000
5.4, .5400000000
5.5, .5500000000
5.6, .5600000000
5.7, .5700000000
5.8, .5800000000
5.9, .5900000000
6.0, .6000000000
6.1, .6100000000
6.2, .6200000000
6.3, .6300000000
6.4, .6400000000
6.5, .6500000000
6.6, .6600000000
6.7, .6700000000
6.8, .6800000000
6.9, .6900000000
7.0, .7000000000
7.1, .7100000000
7.2, .7200000000
7.3, .7300000000
7.4, .7400000000
7.5, .7500000000
7.6, .7600000000
7.7, .7700000000
7.8, .7800000000
7.9, .7900000000
8.0, .8000000000
8.1, .8100000000
8.2, .8200000000
8.3, .8300000000
8.4, .8400000000
8.5, .8500000000
8.6, .8600000000
8.7, .8700000000
8.8, .8800000000
8.9, .8900000000
9.0, .9000000000
9.1, .9100000000
9.2, .9200000000
9.3, .9300000000
9.4, .9400000000
9.5, .9500000000
9.6, .9600000000
9.7, .9700000000
9.8, .9800000000
9.9, .9900000000
10.0, 1.000000000
